Helper,Subject,Topic,Category,Question,Cluttered,Decluttered,Focused
2Prison,2,Prison,INFORMATION,no purpose,0,0,0
2Prison,2,Prison,INFORMATION,not enough info,0,0,0
2Prison,2,Prison,INFORMATION,too much info,0,0,0
2Prison,2,Prison,EMPHASIS,likes emphasis,0,0,1
2Prison,2,Prison,EMPHASIS,disliked emphasis,0,0,0
2News,2,News,COLOR,likes color,0,0,1
2News,2,News,COLOR,clear color,0,0,0
2News,2,News,COLOR,disliked color,0,0,0
2News,2,News,COLOR,not enough colors,0,0,0
2News,2,News,COLOR,too many colors,0,0,0
2News,2,News,AESTHETIC,likes aesthetic,0,1,0
2News,2,News,AESTHETIC,easy to read,0,1,0
2News,2,News,AESTHETIC,professional,0,0,0
2News,2,News,AESTHETIC,disliked aesthetic,1,0,0
2News,2,News,AESTHETIC,unprofessional,0,0,0
2News,2,News,AESTHETIC,cluttered,1,0,0
2News,2,News,AESTHETIC,boring,0,0,0
2News,2,News,INFORMATION,likes info,0,0,0
2News,2,News,INFORMATION,clear info,0,0,0
2News,2,News,INFORMATION,has purpose,0,0,0
2News,2,News,INFORMATION,disliked info,0,0,0
2News,2,News,INFORMATION,no purpose,0,0,0
2News,2,News,INFORMATION,not enough info,0,0,0
2News,2,News,INFORMATION,too much info,0,0,0
2News,2,News,EMPHASIS,likes emphasis,0,0,1
2News,2,News,EMPHASIS,disliked emphasis,0,0,0
2Tires,2,Tires,COLOR,likes color,0,0,0
2Tires,2,Tires,COLOR,clear color,0,0,0
2Tires,2,Tires,COLOR,disliked color,0,0,0
2Tires,2,Tires,COLOR,not enough colors,0,0,0
2Tires,2,Tires,COLOR,too many colors,0,0,0
2Tires,2,Tires,AESTHETIC,likes aesthetic,0,1,0
2Tires,2,Tires,AESTHETIC,easy to read,0,1,0
2Tires,2,Tires,AESTHETIC,professional,0,0,0
2Tires,2,Tires,AESTHETIC,disliked aesthetic,1,1,0
2Tires,2,Tires,AESTHETIC,unprofessional,0,0,0
2Tires,2,Tires,AESTHETIC,cluttered,1,0,0
2Tires,2,Tires,AESTHETIC,boring,0,1,0
2Tires,2,Tires,INFORMATION,likes info,0,0,1
2Tires,2,Tires,INFORMATION,clear info,0,0,0
2Tires,2,Tires,INFORMATION,has purpose,0,0,0
2Tires,2,Tires,INFORMATION,disliked info,0,0,0
2Tires,2,Tires,INFORMATION,no purpose,0,0,0
2Tires,2,Tires,INFORMATION,not enough info,0,0,0
2Tires,2,Tires,INFORMATION,too much info,0,0,0
2Tires,2,Tires,EMPHASIS,likes emphasis,0,0,0
2Tires,2,Tires,EMPHASIS,disliked emphasis,0,0,0
2Holiday,2,Holiday,COLOR,likes color,0,0,1
2Holiday,2,Holiday,COLOR,clear color,0,0,0
2Holiday,2,Holiday,COLOR,disliked color,0,0,0
2Holiday,2,Holiday,COLOR,not enough colors,0,0,0
2Holiday,2,Holiday,COLOR,too many colors,0,0,0
2Holiday,2,Holiday,AESTHETIC,likes aesthetic,0,0,0
2Holiday,2,Holiday,AESTHETIC,easy to read,0,0,0
2Holiday,2,Holiday,AESTHETIC,professional,1,0,0
2Holiday,2,Holiday,AESTHETIC,disliked aesthetic,1,0,0
2Holiday,2,Holiday,AESTHETIC,unprofessional,1,0,0
2Holiday,2,Holiday,AESTHETIC,cluttered,1,0,0
2Holiday,2,Holiday,AESTHETIC,boring,0,0,0
2Holiday,2,Holiday,INFORMATION,likes info,0,0,0
2Holiday,2,Holiday,INFORMATION,clear info,0,0,0
2Holiday,2,Holiday,INFORMATION,has purpose,0,0,0
2Holiday,2,Holiday,INFORMATION,disliked info,0,0,0
2Holiday,2,Holiday,INFORMATION,no purpose,0,0,0
2Holiday,2,Holiday,INFORMATION,not enough info,0,0,0
2Holiday,2,Holiday,INFORMATION,too much info,0,0,0
2Holiday,2,Holiday,EMPHASIS,likes emphasis,0,0,0
2Holiday,2,Holiday,EMPHASIS,disliked emphasis,0,0,0
2Car,2,Car,COLOR,likes color,0,0,0
2Car,2,Car,COLOR,clear color,0,0,0
2Car,2,Car,COLOR,disliked color,1,0,0
2Car,2,Car,COLOR,not enough colors,0,0,0
2Car,2,Car,COLOR,too many colors,0,0,0
2Car,2,Car,AESTHETIC,likes aesthetic,0,0,0
2Car,2,Car,AESTHETIC,easy to read,0,0,0
2Car,2,Car,AESTHETIC,professional,0,0,0
2Car,2,Car,AESTHETIC,disliked aesthetic,0,0,0
2Car,2,Car,AESTHETIC,unprofessional,0,0,0
2Car,2,Car,AESTHETIC,cluttered,0,0,0
2Car,2,Car,AESTHETIC,boring,0,0,0
2Car,2,Car,INFORMATION,likes info,0,0,0
2Car,2,Car,INFORMATION,clear info,0,0,0
2Car,2,Car,INFORMATION,has purpose,0,0,0
2Car,2,Car,INFORMATION,disliked info,0,0,0
2Car,2,Car,INFORMATION,no purpose,0,0,0
2Car,2,Car,INFORMATION,not enough info,0,0,0
2Car,2,Car,INFORMATION,too much info,0,0,0
2Car,2,Car,EMPHASIS,likes emphasis,0,0,0
2Car,2,Car,EMPHASIS,disliked emphasis,0,0,0
2Plant,2,Plant,COLOR,likes color,1,0,0
2Plant,2,Plant,COLOR,clear color,0,0,0
2Plant,2,Plant,COLOR,disliked color,1,0,0
2Plant,2,Plant,COLOR,not enough colors,0,0,0
2Plant,2,Plant,COLOR,too many colors,0,0,0
2Plant,2,Plant,AESTHETIC,likes aesthetic,0,0,1
2Plant,2,Plant,AESTHETIC,easy to read,0,0,0
2Plant,2,Plant,AESTHETIC,professional,0,0,1
2Plant,2,Plant,AESTHETIC,disliked aesthetic,1,1,0
2Plant,2,Plant,AESTHETIC,unprofessional,0,0,0
2Plant,2,Plant,AESTHETIC,cluttered,1,0,0
2Plant,2,Plant,AESTHETIC,boring,0,1,0
2Plant,2,Plant,INFORMATION,likes info,0,0,0
2Plant,2,Plant,INFORMATION,clear info,0,0,0
2Plant,2,Plant,INFORMATION,has purpose,0,0,0
